question,answer,language
Что такое ЭМОЦИИ?,"Эмоции (чувства) - это волны различной частоты излучаемые телом. В животном мире эмоции являются главным средством коммуникации. Люди во все времена по разному называли эмоции. Древнейшие ассоциации эмоций связаны с кровью. Потребляя в пищу мясо с кровью свеже убитого животного, люди чувствовали эмоцию страха жертвы. Поэтому, чтобы обезопасить себя от этого чувства, пищу стали готовить. На этом примере можно заметить тесную взаимосвязь мира энергетического с физическим, когда излучения влияют на материализацию страха в крови в виде адреналина как химического вещества.

В древних охотничьих культах описываемых современниками как дравиды, эмоции (страх) считались признаком животности, а значит потенциальной жертвы. Позднее, с приходом общинного сельского хозяйства и частной собственности, безэмоциональных охотников стали бояться и считать магами. А в настоящее время страх стал привычным состоянием цивилизованного человека. Но чтобы создать образную дистанцию между животным и человеком, животный страх стали называть стрессом.

С приходом организованного религиозного образования, эмоции начали классифицировать как духов, демонов, бесов и тд.  Существуют много классификаций в которых указаны характеристики до 70ти эмоций-демонов.  В этом образном видении демон - это смесь человеческого умствования с эмоцией на базе человеческого тела.

В современной интерпретации существует несколько основных эмоций: страх, ревность, зависть, злость, желания и эгоизм. Так же существует естественная шкала мощности эмоционального излучения. На примере страха можно заметить, что страх начинается с сомнений, затем переступая привычную норму эмоция начинает чувствоваться напряжением и тремором тела, а переступая индивидуальный порог усиливающегося излучения страха, наступает фаза ужаса и либо человек теряет сознание, либо происходит полная потеря контроля над телом, вплоть до полного расслабления мышц ануса и мочеполовой системы.

Современная наука не имеет инструментов для измерения волновой частоты эмоций и поэтому оставила эту тему на откуп гуманитариям психологам, религии и литераторам. Поэтому в современной западной науке нет наук эмоционального образования и настройки.",ru
Где купить полотенце в бассейн?,"Полотенце для бассейна должно иметь отличные абсорбирующие качества, быть износостойким и простым в уходе. Ведь его приходиться стирать после каждого занятия плаванием. Под эти требования отлично подходит микрофибра. Купить полотенца из микрофибры оптом и в розницу можно в интернет-магазине GannaPRO. Здесь вы можете найти 7 ярких и стильных цветов для похода в бассейн. Заполните онлайн-форму заказа или свяжитесь по телефону.",ru
Есть ли бонусная программа у FxGen?,"Да, брокер FxGen предоставляет возможность клиентам, в том числе новым, воспользоваться депозитным бонусом.

Приветственный бонус начисляется при открытии счета и зачислении на него средств.

 	1 ЛОТ = 10$
 	Срок действия бонуса 90 дней
 	Сумма бонуса является кратной 100 USD

Для подробного ознакомления с условиями бонусной программы можно обратиться на страницу Бонусная программа или в поддержку брокера support@fx-gen.com",ru
"Есть ли ограничения по суммам оплат, которые можно принять с помощью сервиса?","Сразу после активации сервиса вам будет доступно получение оплат на общую сумму 30 000 руб. Параллельно банк проведет проверку, и вам поступит уведомление о решении банка в части предоставления неограниченного доступа к сервису.",ru
Как погасить долг по овердрафту?,"Легко погашать – не нужно делать переводы на какой-то дополнительный счет. Погашение лимита происходит в конце дня автоматически, в случае наличия собственных средств клиента на счете.",ru
🎁 Покер-рум выдает бонус на депозит?,"Бонус не начисляется, но это компенсируется программой лояльности ""Халява"". Подробнее о кэшбеке до 50% здесь.",ru
При заказе пенопласта – доставка бесплатно?,Осуществляем бесплатную доставку от 18 м.куб.,ru
Где бесплатно скачать тему Reboot для Вордпресс?,"Только в своих ""сладких мечтах"" вы ее сможете скачать бесплатно!

Есть конечно же, зануленные версии. Но они с вирусами и замаскированными рекламными ссылками.

А оно вам надо?",ru
"Как ФСТЭК проверяет корректность Перечня объектов КИИ, подлежащих категорированию?","ФСТЭК в получаемых от субъектов КИИ перечнях объектов КИИ контролирует только сроки, заявленные на категорирование. Никаких действий по согласованию, возврату на доработку для устранения недостатков не предпринимается. Думаю, что это не касается случая, когда Перечень не утвержден субъектом-здесь прямое нарушение ПП127.
Источник: блог Валерия Комарова",ru
Можно ли работать бригадой?,"Нет. Но если у вас небольшая бригада — 2-3 человека, мы можем зарегистрировать вас как мастера и напарников. На объект ваши работники не могут выезжать без вас.",ru
Как работает ПАММ счет?,"В работе ПАММ-счета есть 2 стороны: управляющий и инвестор.
Управляющий (трейдер) открывает ПАММ-счет и совершает сделки для получения прибыли, торгуя на этом счете. Затем управляющий создает предложение, где указывает сумму вознаграждения за управление торговыми счетами.
Вторая сторона – инвестор, заинтересована в получении прибыли. До начала работы инвестор изучает модели и результаты управления торговыми счетами различными управляющими. Эти данные часто предоставляются торговыми платформами или посредством брокеров. Далее инвестор принимает оферту одного из управляющих трейдеров и инвестирует средства в выбранный ПАММ-счет. В случае положительного результата торговли инвестор получает прибыль, часть которой по договоренности выплачивает управляющему.",ru
"Здравствуйте, если я прошла курс лазерной эпиляции, есть ли у меня возможность вернуть 13%?","Да, лазерная эпиляция медицинская услуга. Если Вы получали услуги в медицинской организации, есть подтверждающие этот факт договор, чек, справка о налоговом вычете, Вы можете его оформить.
	 Если процедуру делали в организации, не имеющей лицензии, вычет оформить не удастся.",ru
Есть ли другие способы для подтверждения своего аккаунта?,"Если адрес электронной почты указан пользователем верно, однако письмо так и не приходит на указанный адрес, то в этом случае рекомендуется воспользоваться функцией восстановления пароля. Следующая инструкция поможет игроку в быстром и удобном восстановлении доступа к собственной учетной записи:
 - нажмите на кнопку «Забыли пароль?»;
 - укажите адрес электронной почты и кликните по кнопке «Восстановить пароль»;
 - дождитесь получения письма на указанный адрес электронной почты;
 - откройте письмо и перейдите по вложенной ссылке;
 - подберите новый надежный пароль, после чего кликните по кнопке «Изменить пароль».
Если описанные выше действия не привели к желаемому результату, то в этом случае необходимо обратиться за соответствующей помощью к службе поддержки игровой площадки, используя для этого онлайн-чат.",ru
"Что делать, если питомец заболеет во время передержки?","Наш сервис сотрудничает с ведущими ветеринарными клиниками Москвы. В случае, если кошка заболеет, наш ситтер оперативно свяжется со специалистом и получит исчерпывающую консультацию, а питомец - необходимый уход.",ru
Срок выполнения работ?,"Срок разработки сайта ""под ключ"" зависит от выбранного шаблона и нужного функционала и занимает от 5 до 15 дней. Мы работает по реальным ценам и срокам и никогда не затягиваем разработку. Режим ""черепашки"" - не про нас. Лечение вирусного заражения сайта с защитой - зависит от степени заражения вашего сайта. Многоступенчатая диагностика, лечение в ручном режиме и защита сайта занимает минимум 4-5 часов, в течении суток от заказа. Исправление ошибок сайта - в течении дня.",ru
Как я могу оформить овердрафт?,Если у вас в мобильном приложении или интернет-банке появилось соответствующее предложение – значит вы можете подать заявку на овердрафт и при ее одобрении начать пользоваться лимитом.,ru
Когда можно применять Детрагель?,"Препарат применяется для лечения симптомов хронических заболеваний вен, которые проявляются в виде боли, отеков, ощущений тяжести и усталости, судорог в ногах, и с признаками в виде телеангиоэктазий (сосудистых звездочек и сеточек) и варикозных вен. Также Детрагель® показан для терапии поверхностного флебита, тромбофлебита, гематом при травмах, включая спортивные растяжения и ушибы, послеоперационных гематом без нарушения целостности кожных покровов.",ru
"3. Мой сайт продвигают уже месяц, но контекстная реклама пока более результативна и приносит за ту же сумму больше посетителей. Почему так происходит?","Это слишком малый срок для достижения видимого и долговременного эффекта от SEO. Услуги компании подразумевают длительную и кропотливую работу над ресурсом с применением множества полезных инструментов. Для этого необходимо подождать несколько месяцев или год в зависимости от сложности задач. Кроме того иногда требуется внедрение доработок на основе анализа готовых данных. Как показывает практика, первые результаты продвижения в органической и снижение затрат по сравнению с контекстной рекламой появятся не ранее, чем через 3 или 6 месяцев.",ru
"В каком контейнере выгоднее заказывать чеснок, в 20-ке или 40-ке?","Выгоднее заказывать чеснок в 40-футовом контейнере, поскольку стоимость фрахта в таком случае будет ниже. И цена на большем объеме может быть более выгодной по сравнению с заказом в 20-футовым контейнере.",ru
"У меня появились симптомы пнемнонии. Возможно, это коронавирусная инфекция. Как и где лучше проверить подозрения?",Самым эффективным на сегодняшний день является Компьютерная томография легких или КТ легких Эта диагностика с очень высокой точностью и эффективностью показывает текущее состояние легких. Благодаря этой процедуре можно незамедлительно назначать курс лечения.,ru
Какие выды профнастила существуют?,"По назначению различают следующие види профелированных листов:
 ПС – профнастил СТЕНОВОЙ
 ПК – профнастил КРОВЕЛЬНЫЙ
 ПН — профнастил НЕСУЩИЙ
 ПП – профнастил ПОТОЛОЧНЫЙ",ru
Какой налог на недвижимость в Турции платится в 2020 году?,"Ставка налога на недвижимость в Турции в 2020 году – 4% от кадастровой стоимости имущества. Этот сбор платится один раз при покупке объекта. Владелец жилья в Турции также должен оплачивать ежегодный налог на недвижимость. Его размер зависит от типа объекта и расположения – в провинции или крупных городах – и составляет 0,1-0,2% от кадастровой цены. Важно, что государственные налоги начисляются от кадастровой стоимости, которая, как правило, в несколько раз ниже рыночной.
Закон не предусматривает дополнительные сборы для иностранцев. Т.е. россияне платят такие же налоги на недвижимость в Турции, как и местные граждане.",ru
"Можно ли к активным наушникам подключить телефон, рацию?",Да. Некоторые модели имеет специальные разъемы для подключения внешних устройств. В ассортименте есть модели с Bluetooth.,ru
Что такое ОСАГО?,"ОСАГО – это обязательный вид страхования, который защищает имущественные интересы потерпевших в ДТП по вашей вине. ОСАГО покрывает затраты на ремонт автомобилей и другой техники в размере 400 000 рублей за каждую единицу (с учетом амортизации) и лечение людей до 500 000 рублей на каждого пострадавшего человека.
Быстро и просто ОСАГО можно рассчитать у нас на калькуляторе. Понадобятся данные на авто и водителей – вы получите цены ОСАГО от 15+ страховых компаний за 1 минуту!",ru
Молекулярная кухня – это значит нужно готовить блюда из молекул?,"Не совсем так. Блюда  молекулярной кухни  готовятся из привычных ингредиентов – мяса, рыбы, овощей, приправ, масел и т.д.",ru
На каких предприятиях нужен санпропускник?,"Система гигиенического доступа  (санпропускник) устанавливается на всех предприятиях, где необходим строгий контроль и безукоризненное соблюдение правил санитарной безопасности. Чаще всего СП заказывают для установки на пищевых или промышленных объектах, в фармацевтических компаниях, свиноводческих комплексах и птицефабриках, и даже на фермах.",ru
Где можно сделать анализ воды из скважины?,"Лабораторий, которые проводят анализ воды из скважины , немало. Они отличаются друг от друга не только стоимостью услуг, но и качеством работы.Если Вам нужно оптимальное соотношение цена-качество, сроки выполнения работ, то советуем обратиться в нашу лабораторию Экологический мониторинг. Минимальная цена анализа воды из скважины составит 3500рублей, срок выполнения от трех рабочих дней.",ru
"Можно везти сушеные морепродукты морем в обычных сухих контейнерах, например, во Владивосток?","Обычно для перевозки сушеных морепродуктов используется реф. контейнер, но для случая доставки во Владивосток приемлем обычный сухой контейнер (dry container).",ru
🚙 Какой комплект документов выдается вместе с полисом ОСАГО?,"При покупке полиса сотрудник должен выдать клиенту следующие документы:
<ul>
 	<li>Бланк страхового полиса ОСАГО.</li>
 	<li>Квитанцию об оплате.</li>
 	<li>2 бланка извещения о ДТП.</li>
 	<li> Правила страхования ОСАГО</li>
</ul>",ru
Как не платить налог при продаже квартиры?,"Налог платить нужно практически всегда. Исключением может стать наступление предельного срока владения. Как его посчитать? Срок считайте с даты регистрации права собственности на квартиру, за исключением, если квартира перешла в порядке наследства (срок в этом случае считается с даты смерти наследодателя) и, если приватизировали квартиру до 1 января 1998 года, срок считайте с даты ее приватизации.",ru
Какие методы исследования применяются при анализе сточной воды?,"Химический анализ сточных вод требует применения большого числа физико- химических методов анализа. Для того, чтобы выполнить  анализ проб сточных вод применяют основные методы определения неорганических компонентов сточных вод — фотометрия, атомно-абсорбционная спектрометрия и пламенно-эмиссионная спектрометрия.",ru
"Можно ли разместить студию перманентного макияжа в коммерческой недвижимости, а именно в апартаментах?","Квалификация услуги по перманентному макияжу (далее – ПМ) неоднозначна, соответственно, разнятся и требования к помещению, в котором оказываются медицинские услуги и помещению, в котором оказываются бытовые косметические услуги. Если причислять ПМ к медицинским услугам, как это сделано в номенклатуре медицинских услуг (Приказ Минздрава РФ от 27.12.2011 №1664н; начиная с 01.01.2018 – Приказ Минздрава РФ от 13.10.2017 №804н), требования к помещению установлены СанПином 2.1.3.2630-10 для медицинских организаций; к оснащению - Приказом МЗ РФ от 18.04.2012 №381н.


	 При оказании бытовой косметической услуги, требования к помещению, в котором оказываются услуги по перманентному макияжу, установлены ГОСТом 55700-2013 (его положения носят рекомендательный характер), Правилами бытового обслуживания (утв. Постановлением Правительства от 15.08.1997 №1025), СанПином 2.1.2.- 2631.10 для организаций, оказывающих косметические услуги.",ru
Какие врачи нужны для медкнижки?,"Перечень врачей, осмотр у которых надо пройти для оформления медкнижки, зависит от пола, возраста и рода деятельности работника. Чаще всего вам потребуется пройти осмотр у терапевта, психиатра, нарколога, дерматовенеролога, лора, стоматолога.",ru
Как правильно принимать суспензию?,"При ХЗВ достаточно 1 саше в сутки, предпочтительно утром, во время приема пищи. Продолжительность курса лечения может составлять несколько месяцев (вплоть до 12). В случае повторного возникновения симптомов, по рекомендации врача, курс лечения может быть повторен. Рекомендуемая доза при остром геморрое - 3000 мг в сутки (по 1000 мг (содержимое 1 саше) утром, днем и вечером) в течение 4 дней, затем по 2000 мг в сутки (по 1000 мг (содержимое 1 саше) утром и вечером) в течение последующих 3 дней; рекомендуемая доза при хроническом геморрое - 1 саше в сутки в любое удобное время дня вместе с приемом пищи. Не требует запивания водой. [1]1. Инструкция по медицинскому применению препарата Детралекс® суспензия. РУ № ЛП-004247",ru
✅ Как узнать свой тариф на Play?,Чтобы узнать свой тарифный план наберите *111*49*1#,ru
❤️⭐ Как и чем резать профнастил?,Рекомендуем не резать листы профнастила болгаркой. В таком случае гарантия будет не действительной. Есть специальная насадка сверчек. Детальная информация есть у менеджера.,ru
Какова стоимость бурения?,"Цена за метр бурения составляет 2500 рублей, мы предоставляем 10% скидку пенсионерам и многодетным семьям",ru
Кто еще кроме девушек может успешно работать моделью видеочата?,"Работа моделью в видеочате отлично подходит для девушек, молодых парней, а также для пар. В парах возможны разные варианты. Помимо классических пар с парнем и девушкой, сайт ModelMe приглашает также и пары, состоящие только из парней, либо только из девушек.",ru
✔️Как подписаться на телеграмм каналы?,"Чтобы подписаться на телеграм канал, например, All-in-One Person нужно перейти по ссылке <link>",ru
"Я прошла дистанционное обучение по программе «Инструктор фитнеса, тренажерного зала» и теперь хотела бы оплатить за очную часть программы. Как мне это сделать?","Регистрируйтесь на сайте на полный курс, затем напишите на online@cbb. ru что нужно скорректировать стоимость, так как уже прошли дистанционное обучение",ru
На какие гарантии качества я могу рассчитывать?,"Гарантии уникальности, качества, сроков и возврата средств юридически оформлены в публичном договоре об услугах.",ru
Какой срок хранения арахиса в вакуумной упаковке?,"Срок хранения арахиса - 1 год. Но все зависит от условий хранения. Нужно хранить арахис в прохладном, темном, проветриваемом помещении. Понятно, что при хранении в сыром теплом подвале срок годности уменьшится.",ru
