question,answer,language
Wo wird der VEER Cruiser hergestellt?,"VEER Cruiser und Accessoires werden im VEER-Hauptsitz in Atlanta, Georgia (USA) entworfen und bei einem der anspruchsvollsten Hersteller von Kindermobilität in China unter strengen Qualitätskontrollmaßnahmen hergestellt.",de
Ich bin neu auf dieser Seite. Wie bestelle ich?,"Wir bemühen uns, Ihr Einkaufs-Erlebnis bei Heel Tread so sicher und einfach wie möglich zu gestalten. Sie können auf unserer Seite stöbern indem Sie die Kategorien und Stichworte in der oberen Leiste nutzen, die Such- Funktion benutzen oder direkt die Produkte in der Neuigkeiten-Rubrik auswählen. Wählen Sie Ihre Größe und platzieren Sie das gewünschte Produkt im Einkaufswagen.",de
"Ich plane, mit meinem Hund in den Urlaub zu fahren. Was muss ich dabei alles beachten?",Wir haben hier einige Ratgeber zu diesem Themenbereich zusammengestellt.,de
"Was passiert, wenn sich mein Flug verspätet?","Sollte sich dein Flug verspäten, rufe einfach den Shuttleservice des Parkplatzbetreibers an (die Nummer findest du auf deiner Buchungsbestätigung). Der Shuttle holt dich dann nach der Gepäckausgabe am vereinbarten Treffpunkt ab. Benachrichtige im Falle einer Verspätung unbedingt den Parkplatzbetreiber, so dass dieser vorbereitet ist und besser planen kann. Vielen Dank.",de
Wie kann ich die BigONE sauber machen?,Die BigONE bitte nur per Handwäsche reinigen. Gerade der Bereich mit Tarpaulin ist super pflegefreundlich und die meisten Verschmutzungen können einfach mit Wasser entfernt werden.,de
Wie kann ich eine Bestellung zurückschicken und eine Rückzahlung abwickeln?,"Solltest Du einmal nicht zufrieden sein mit Deiner Bestellung nehmen wir Deine Bestellung gerne zurück und erstatten die Dir den preis zurück. Wir bitten Dich lediglich und eine kure Nachricht zu schicken warum das Produkt nicht Deinen Erwartungen entspricht,Unsere detailierte Widerrufserklärung findest Du hier: Widerrufserklärung",de
Ist der OTTO Gutschein für Ihre Kundengruppe gültig?,"Mithilfe der Gutscheine werben Onlineshops wie OTTO häufig für Verbraucher, die bis dato noch nicht bestellt haben. Zählen Sie also zu den Bestandskunden von OTTO, so können Sie die Gutscheine für Neukunden in der Regel nicht einlösen. Beachten Sie demnach stets die Informationen zu eventuell gültigen Kundenbeschränkungen.",de
Was muss ich zur Plasmaspende mitbringen?,"Glücklicherweise ist die Plasmaspende für Sie ein vergleichsweise unkomplizierter Vorgang. Um in unserem Hause Plasma zu spenden, benötigen Sie im Grunde nur Ihren gültigen Personalausweis. Wichtig: Der amtliche Lichtbildausweis muss im Original vorgelegt werden – ein Foto, eine Kopie oder Scan auf dem Smartphone reicht leider nicht aus. Alternativ können wir auch mit einem Reisepass und einer aktuellen Meldebescheinigung (nicht älter als 6 Monate) Ihre Identität und Ihren Wohnort überprüfen. Die Identitätsprüfung ist eine wesentliche Voraussetzung dafür, dass Sie spenden dürfen.

Andere Ausweisarten (z.B. Sozialvericherungsausweis, Krankenversicherungskarte, Schüler- und Studentenausweise) dürfen wir aufgrund gesetzlicher Regelungen nicht akzeptieren.",de
Kann der Callblocker auch Anrufe aufzeichnen?,"A: Der Callblocker speichert die Nummern der Anrufer, jedoch ist er kein Telefonbeantworter. Es können keine Mitteilungen gespeichert werden.",de
Wie geht es mit meiner Bewerbung weiter?,"In jedem Fall erhalten Sie innerhalb eines Tages eine Eingangsbestätigung. Ihre Bewerbung wird anschließend vom zuständigen Ansprechpartner sorgfältig geprüft. Stimmen Ihre Qualifikationen mit dem Anforderungsprofil der Stelle überein, laden wir Sie zu einem ersten persönlichen Gespräch ein. 
Nach einem ersten Kennenlernen folgt oftmals ein Probearbeitstag sowie ein Kennenlernen mit zukünftigen Kollegen. Passen wir zusammen, heißen wir Sie herzlich willkommen im Team von engineering people.",de
"Ist eure komplette Firmware auf dem Gerät open-source, oder nur die Basis-Software ESP Easy?","Die komplette Software ist Opensource. 



Wir verstehen einen offenen Ansatz so, dass wir nicht nur nehmen, sondern auch der Gemeinschaft wieder etwas zurück geben.



Sie können die von uns  bereit gestellten Dateien unter <link>       herunterladen und auch wieder hochladen.



Wir stellen die Dateien auch unter Github bereit.",de
"Garantiert mir ACAD WRITE, dass meine Arbeit ein Unikat ist?","Selbstverständlich handelt es sich bei jeder Arbeit, die unsere Autoren für Sie erstellen, um ein wissenschaftliches Unikat. Dies belegen wir anhand einer detaillierten Plagiatsprüfung, die wir vor der Fertigstellung des Projekts durchführen. Der Prüfbericht, den wir Ihnen gerne zusammen mit Ihrer wissenschaftlichen Arbeit zustellen, wird vom neutralen externen Anbieter PlagScan erstellt, der auch an vielen Universitäten und Hochschulen zum Einsatz kommt.",de
✅ Welche Lastenrad-Typen gibt es?,"Long-John Lastenräder haben 2 Räder und die Transportbox vor dem Fahrer. Meist ist das Vorderrad klein (20 Zoll). Sie zeichnen sich durch ein sehr sportliches, schnelles Fahrverhalten aus und sind vorallem für Langstrecken oder anspruchsvolles Gelände bestens geeignet. Die Transportkiste ist für 1-3 Kinder ausgelgegt und kann auch bei einer Zulaung von bis zu 100Kg noch gut gefahren werden.3-Räder / 2-spurige Lastenräder sind für bis zu 4 Kinder oder Zuladungen mit 100Kg+ ausgelegt. Durch die große Transportkiste und 2 Vorderräder eignen sich diese vorallem für schwerer Lasten und langsamere Geschwindigkeitsbereiche bis 20km/h. . 3-rädrige CargoBikes mit Neigetechnik stellen hier eine Ausnahme. Diese sind ähnlich dem 2-Rad auch bei hohen Geschwindigkeit und unebenem Terrain gut geeignet. Bei Stop-and-Go Verkehr muss nicht abgestiegen werden daher kann in vollen Städten ein 3-Rad sinnvoll sein. Mehr...",de
Kann ich Verpackungsgrößen verändern (vereinzeln)?,"Das Verändern von Verpackungen ist streng reglementiert. Vermeiden Sie jede Art der Verpackungsänderung, sofern dies durch den Hersteller nicht vorgesehen ist. Einzelheiten können Sie dem „Leitfaden für Händler der DGIHV“ (Kapitel 7) entnehmen.",de
"Wie kann ich sicherstellen, dass die CE-Konformität eines Serienprodukts nicht verletzt wird und ich nicht zum Hersteller eines patientenangepassten Hilfsmittels werde?","Halten Sie sich bei allen Anpassungen an dem Medizinprodukt genau an die Vorgaben des Herstellers in der Gebrauchsanweisung und - sofern vorhanden - der Montageanleitung. Sollten Anpassungen notwendig sein, die so nicht vom Hersteller beschrieben sind (z.B. Bohrungen an Rollstuhluntergestellen), holen Sie sich unbedingt eine schriftliche Genehmigung des Herstellers für die Anpassung ein. Ansonsten verlieren Sie jede Garantie und Gewährleistung und werden zum Hersteller einer Sonderanfertigung mit allen Pflichten bezüglich der Dokumentation (Klinische Bewertung, Risikomanagement, Qualitätsmanagement) und Haftung.",de
Do you make custom orders?,"Yes.If you would like to place a custom order, the first thing I need to know is which item you would like to have. I also need to know the size, color and as many details as possible.You can mix and match between the available types of rose/ gemstone colors, charms and extras in the online shop to pick the perfect combination for you.",en
Wie kann ich EuroMillionen Tippscheine kaufen?,"EuroMillionen Tippscheine kannst Du in Österreich sowohl online als auch offline erwerben. Offline sind die Scheine bei jedem lizenzierten Händler, wie unter anderem im Einzelhandel, Zeitschriftenhandel und Supermärkten in allen teilnehmenden Ländern erhältlich. Kaufst Du Deinen Schein im Einzelhandel oder bei einer anderen Verkaufsstelle, birgt das die Gefahr, dass Du den Lottoschein verlierst und so möglicherweise jemand anderes ganz legal den Schein einlösen kann. Dieser Gefahr gehst Du aus dem Weg wenn Du online Lotto spielst.",de
❓Waren nur deine Beine betroffen?,"Am Anfang hatte ich nur mit meinen Beinen das Problem, aber später waren auch meine Arme geschwollen. Es war eigentlich meiner Mutter zu verdanken, dass ich einen Arzt aufsuchte, da diese die Schwellungen an meinen Oberarmen bemerkte und verunsichert war.",de
Kann ich das Modem meines bisherigen Anbieters verwenden?,"Herkömmliche Modems können nur Daten über eine Telefonleitung übertragen. Daher können diese nicht für den schnellenKabelinternet Zugang verwendet werden.Es wird ein Kabelmodem benötigt, welches Sie von der Kabelfernsehen Bödeli AG kostenlos erhalten.",de
Was ist heat_it?,"Der heat_it ist ein elektronisches Gerät zur Behandlung von Insektenstichen und -bissen und wirkt ausschließlich durch konzentrierte Wärme und somit frei von chemischen Stoffen. Die Anwendung konzentrierter Wärme (lokale Hyperthermie) ist ein wissenschaftlich bestätigtes Wirkprinzip, das auf kurzer Wärmeeinwirkung auf ein eng begrenztes Hautareal beruht. Selbst ein lokal begrenzter Wärmeeintrag kann ausreichen, um eine schmerz- und juckreizlindernde Reaktion des Körpers auszulösen.",de
Wir heiraten bald und haben noch keinen Hochzeitsfotografen. Können wir dich kurzfristig anfragen?,"Klar, Ihr könnt mir jederzeit eine E-Mail schreiben. Ich kann nicht garantieren, dass ich an Eurem Termin noch frei bin, aber vielleicht habt Ihr Glück oder einer meiner lieben Kollegen ist noch an Eurem Tag verfügbar. Voraussetzung für eine kurzfristige Anfrage von Euch ist, dass ich der richtige und nicht der falsche Fotograf für Euch bin. Lest hierzu bitte die ersten beiden Fragen dieser FAQ-Liste ganz oben und beantwortet Euch diese Frage selbst ;-)",de
Wo befindet sich die Fun-Ride Piste?,Der Start der Gimmy Fun Ride Piste (für alle Altersstufen) befindet sich am Ausstieg der Bergstation Hinterberg.,de
Ich kann keine Kommentare zu Videos/Fotos/Blogs usw. hinterlassen. Warum nicht?,"Du musst deine E-Mail-Adresse zuerst verifizieren. Dazu bitte folgenden Link verwenden: <a href=""<link> target=""_blank""><link>",de
Welche Yacht kann ich leasen und welches Boot kann ich finanzieren?,"Wer nicht genau weiß, welches Boot zu ihm passt und ob das neue Boot auch allen Wünschen und individuellen Vorstellungen gerecht wird, schaut sich am besten hier erst einmal um. Wir zeigen hier die unterschiedlichen Bootstypen auf und erklären deren Vorzüge. Ferner bieten wir hier eine Auflistung diverser Bootstypen und Bootsarten, für die wir Optionen zur Finanzierung oder im Leasing anbieten.",de
Sind Vormerkungen bzw. Reservierungen möglich?,"Ja, Vormerkungen sind hier möglich. Einfach auf die drei Punkte unter dem gewünschten Medium klicken und „Add hold“ auswählen.
In Deinem Online-Account kannst Du außerdem einsehen, (1) welche Medien Du zurzeit entliehen hast, (2) wann Du die Medien entliehen hast und wann Du sie spätestens zurückgeben musst und (3) welche Medien Du bereits zurückgegeben hast.",de
Werden die Daten verschlüsselt übertragen?,"Ja, die Kommunikation zwischen deinem Handy und den Servern erfolgt verschlüsselt.

Um alle Aktivitäten manipulationssicher zu machen, arbeiten wir ständig an noch weiteren Verschlüsselungsmaßnahmen für Flagstack und alle Spieler.

--> Du brauchst dir also keine Sorgen zu machen.",de
Kann man die Blumenwand für mehrere Tage mieten?,Selbstverständlich kann die Blumenwand auch für mehrere Tage gebucht werden. Bitte hierfür eine Anfrage über unser Kontaktformular senden.,de
Woher kommt das Holz für die Holzspäne?,"Die Späne der Kissen werden von toten oder natürlich fallenden Bäumen gewonnen. Wir garantieren Ihnen, dass kein Baum für das Kissen gefällt wird!",de
Wie wird Hepatitis übertragen?,"Bei Hepatitis B kommt über Blut oder andere Körperflüssigkeiten das Virus in deinen Körper, beim: - Analsex, Blasen oder Vaginalsex ohne Kondom, gemeinsamen Verwenden von Zahnbürsten, Rasierer, Nagelscheren, etc. unsterilen Tätowieren, - gemeinsamen Konsum von Drogen.
Bei Hepatitis C passiert die Übertragung über Blut-zu-Blut-Kontakt : beim:- gemeinsamen Verwenden von Zahnbürsten, Rasierern, Nagelscheren, etc. - unsterilen Tätowieren - Analsex oder Vaginalsex ohne Kondom - Slamming und gemeinsamen, intravenösen Konsum von Drogen.",de
Dürfen Sie meinen Arbeitslohn pfänden?,"Ja, eine Pfändung des Arbeitslohnes ist möglich, wenn die Forderung bereits tituliert ist. Es gelten dabei die gesetzlichen Pfändungsfreigrenzen. Unpfändbar bleibt dabei der Lohnanteil, welcher für eine bescheidene Lebensführung erforderlich ist.",de
Erfolgt die Abwicklung online?,"Ja, in der Regel erfolgt die Abwicklung online. Eine persönliche Vorsprache ist also nicht notwendig. Alle nötigen Dokumente müssen aber leserlich online bzw. per E-Mail übermittelt werden.",de
"Ich kann kein Wasser in der Filterpumpe (Vorfaserfänger, „weißes Sieb”) sehen. Läuft die Pumpe trocken?","Kontrollieren Sie die Ansaugung und das 6-Wege-Ventil. Filterpumpe ausstecken und danach den Filterpumpendeckel öffnen, um eine genaue Kontrolle durchzuführen.",de
"Ich hätte gern kräftiger Farben und ein wenig Blattgold, geht das?","Auch das ist kein Problem, nimm einfach mit uns Kontakt auf, und wir unterbreiten Dir ein Angebot mit Deinem persönlichem Wunschbild.

Hier findest unser Kontaktformular.",de
"Wie erkenne ich, ob der Ladevorgang gestartet wurde?","Unsere Ladestationen haben jeweils zwei Ladepunkte (links und rechts). Für beide Ladepunkt sind jeweils drei LED Leuchten vorhanden (blau, grün und rot).

• Blinkt die LED-Leuchte blau, muss der Ladevorgang mittels Ladekarte aktiviert werden.
• Blinkt die grüne LED-Leuchte oder leuchtet sie dauerhaft, wurde der Ladevorgang ordnungsgemäß gestartet.
• Blinkt die LED-Leuchte rot, kontaktieren Sie die Beecar-Servicehotline.

Außerdem kannst du am Display vom Fahrzeug erkennen, ob ein Ladevorgang gestartet wurde.",de
Kann ich mich nach einer Absage wieder bewerben?,Selbstverständlich kannst Du Dich auch nach einer Absage erneut bewerben.,de
Was ist der Flatex Preis TRG?,"Flatex hat als Best-Execution den Handelsplatz Tradegate fix voreingestellt. Flatex nennt diesen Handelsplatz kurz ""<b>flatex Preis TRG""</b>. Über diesen Handelspartner Tradegate (TRG) können Aktien oder ETFs gekauft werden. Die Kosten für Trades am Handelsplatz ""flatex Preis"" bzw. Tradegate Exchange sind:

Eigene Spesen Flatex:
<ul>
 	<li>bis 3.500 Euro: 5,90 Euro</li>
 	<li>3.500,01 - 12.500 Euro: 9,90 Euro</li>
 	<li>ab 12.500,01 Euro: 19,90 Euro</li>
</ul>
Plus fremde Spesen der Tradegate Exchange:
<table class=""tb-zebra-rows"">
<tbody>
<tr class=""tr-even"">
<td rowspan=""1""><span class=""txt"">Regulierungsgebühr Clearer:</span></td>
<td class=""align-right"" rowspan=""1""><span class=""txt"">0,78 € oder 2,44 €</span></td>
</tr>
<tr class=""tr-odd"">
<td rowspan=""1""><span class=""txt"">Schlussnotendatenträgerentgelt:</span></td>
<td class=""align-right"" rowspan=""1""><span class=""txt"">0,07 €</span></td>
</tr>
</tbody>
</table>",de
WAS IST LEASING?,"Beim Leasing handelt es sich um eine Art Gebrauchsüberlassung auf Zeit. Das heißt für Sie: kleine
Monatsraten anstelle hoher Anschaffungskosten. Ob privat oder gewerblich: Beim Leasing erwerben Sie nicht das Fahrzeug selbst, sondern nur ein zeitbegrenztes Nutzungsrecht. Eigentümer bleibt die
Leasinggesellschaft, der so genannte Leasinggeber. Bei Leasingtime ist das meist die Leasingbank des Autoherstellers.
Leasen statt kaufen, das bringt viele Vorteile: Sie binden sich nicht langfristig an ein Fahrzeug und haben keine hohe Kapitalbindung. Sie fahren praktisch immer einen Neuwagen. Sie zahlen nur für den Wertverlust des Autos und sparen auf diese Weise nicht nur Reparaturkosten, sondern sogar die gesamten Anschaffungskosten und die Anzahlung. Denn Sie leasen Ihr Wunschfahrzeug einfach und bequem für einen bestimmten Zeitraum, meistens zwischen zwei und vier Jahren. Mit Ablauf des Vertrages geht das Fahrzeug zurück in den Besitz des Leasinggebers und Sie können wieder ein neues Fahrzeug leasen. Unternehmen,
Freiberufler und Gewerbetreibende profitieren beim Fahrzeugleasing zusätzlich von steuerlichen Vorteilen.",de
Wie sieht die Ausstattung der Mietfahrzeuge über RENT AND TRAVEL aus?,"Zu der Grundausstattung unserer Mietfahrzeuge gehören: 

Küche mit Kühlschrank, Gasherd und Spüle 
Betten mit Lattenrost und Komfortmatratzen 
Sanitärbereich mit Toilette, Waschbecken und Dusche 
Frisch‐ und Abwassertank 
Gas‐Heizung 
Anschlusskabel für die Stromversorgung 
Fahrradträger oder Heckgarage (typabhängig) 
Radio mit CD im Fahrerhaus 
Sonnenmarkise 
Gasflasche(n)",de
Ist die Akupunktur auch für Kinder geeignet?,"Da die Akupunktur Behandlung schmerzhaft sein kann, bekommen Kinder oft Akupressur oder Massagen. Es wird bei uns die schmerzfreie LED-Lichtakupunktur angewandt.",de
Was ist eine Umschulung?,"Die Umschulung ist eine Möglichkeit, sich für eine neue Arbeitstätigkeit mit einem Berufsabschluss zu qualifizieren, wenn der bisherige Beruf, beispielsweise aus gesundheitlichen Gründen, nicht mehr ausgeübt werden kann.",de
Wie wirkt BOWTECH?,"BOWTECH® – „die original Bowen-Technik“
wirkt sehr entspannend und bringt den Körper ins Gleichgewicht. In diesem
Zustand ist er in der Lage seine Selbstregulierungskräfte zu aktivieren. Mit
Serien von sanften, präzisen Griffen, an ganz speziellen Punkten des Körpers
und nachfolgenden Pausen zwischen diesen Sequenzen, werden der Körper und der
Energiefluss ausbalanciert. Die Pausen sollen dem Körper Zeit geben, aus den
gesetzten Reizen (Impulsen) optimalen Nutzen zu ziehen.



BOWTECH® ist ein sanftes
Berühren, die einzelne Aktion dauert ca. 2-3 Sekunden und erfolgt dergestalt,
dass ein Muskel oder eine Sehne, sanft berührt und dabei ein Impuls ausgelöst
wird. Diese Reizauslösung ist eine gezielte Information an den jeweiligen
Muskel oder die Sehne, sich an den ursprünglichen Zustand wieder zu erinnern.
Das Ziel der Bowen-Technik liegt also darin, den Körper wieder in seinen
ursprünglichen harmonischen gesunden Zustand zu bringen, es ist vergleichbar
mit einem “Reset”.



BOWTECH® ist: - ein eigenständiges, dynamisches System einer ganzheitlichen Muskel- und Bindegewebsanwendung. - sanft und effektiv. - eine Entspannungstechnik zur Aktivierung der körpereigenen Selbstregulation (KSR).



Schon minimale
Interventionen oder Impulse können erhebliche Veränderungen im ganzen System
Körper und Mensch bewirken, wenn sie exakt und präzise gesetzt werden. Dieses
Verfahren ist für Menschen jedes Alters geeignet.



Der Grundkern der Anwendung ist ein
ganzheitliches Aktivieren der Selbstregulation von Körper, Geist und Seele. Die
Anwendungsmöglichkeiten reichen von der ganzheitlichen Gesundheitsförderung
über Leistungsverbesserung im Sport und Arbeit, bis Verspannungen u.v.m. Im
Bereich des Sports fördert BOWTECH® die Erholung und Regeneration während und
nach Wettkämpfen. Eigentlich gibt es keinen Bereich des Körpers oder keine
Körperfunktion, welche nicht durch die Bowen-Technik angesprochen werden. Die
Wirkungsweise von BOWTECH® erstreckt sich ebenso auf die emotionalen,
kognitiven und spirituellen Aspekte eines Menschen.",de
Welche Arten der Pflegezusatzversicherung gibt es?,"Pflegemonats- bzw. Pflegetagegeldversicherung

Diese wird von privaten Krankenversicherungen angeboten. Sie zahlt im Leistungsfall ein sogenanntes Monats- bzw. Tagegeld, das der Versicherer monatlich auszahlt. Die Höhe kann vom Versicherungsnehmer innerhalb bestimmter Grenzen flexibel vereinbart werden. Die Zahlungen sind nicht zweckgebunden und werden immer in vertraglich vereinbarter Höhe erbracht - unabhängig von den tatsächlich angefallenen Pflegekosten.
Pflegekostenversicherung

Diese gibt es in unterschiedlichen Formen. Einige Pflegekosten-Versicherungen verdoppeln den Leistungsumfang der gesetzlichen Versicherung. Werden Sie allerdings zuhause von einem Verwandten gepflegt, kürzt die Versicherung die Zahlung häufig deutlich. Andere Tarife übernehmen die tatsächlich anfallenden Kosten. Die Zahlungen solcher Angebote sind zweckgebunden. Es müssen monatlich Belege für die Pflegekosten eingereicht werden.
Pflegerentenversicherung

Von der Pflegerentenversicherung erhalten Sie eine monatliche Rente, wenn die Pflegebedürftigkeit festgestellt wurde. Allerdings gibt es bei PG 1 und teilweise sogar PG 2 oft noch kein Geld.
Pflege-Bahr

Die geförderte Pflege-Bahr-Versicherung wurde im Jahr 2013 eingeführt und wird vom Staat mit 5 Euro monatlich (60 Euro pro Jahr) bezuschusst. Es handelt sich um spezielle Pflegetagegeld- oder Pflegemonatsgeldtarife. Sie verzichtet auf eine Gesundheitsprüfung; das kann Vor- und Nachteile haben: Zwar kommen auch Menschen mit schweren Vorerkrankungen in den Genuss einer privaten Pflegeversicherung – auf der anderen Seite müssen Versicherungsgesellschaften aufgrund des fehlenden Gesundheitsfilters diese Tarife teurer kalkulieren. Auch sind deshalb trotz der 5-jährigen Wartezeit, die im Gegenzug bei Pflege-Bahr-Tarifen in der Regel vereinbart wird, langfristige Beitragssteigerungen zu befürchten. Meist reicht der Pflege-Bahr alleine nicht für eine bedarfsgerechte Absicherung aus.",de
Kann ich von zu Hause aus an einer Weiterbildung teilnehmen?,"Ja, Sie können auch von zu Hause aus an unseren Weiterbildungen teilnehmen. Lesen Sie mehr darüber auf unserer Seite zu cim@Home.",de
Ich liebe Ihre Produkte! Kann ich einen Rabatt auf eine zweite Bestellung erhalten?,"Wir danken Ihnen vielmals! Wir halten Sie auf dem Laufenden, wenn wir Sonderangebote haben, und wir bieten Exklusive Angebote für alle, die unseren Newsletter abonnieren und uns auf Social Media folgen!",de
Behandeln Sie Schul- und Arbeitsunfälle?,Die Kollegen in der Praxis Flörsheim sind zur Weiterbehandlung dieser Unfälle berechtigt. An allen drei Standorten darf die notfallmäßige Erstversorgung von Schul- und Arbeitsunfällen erfolgen.,de
Lohnt sich die Salzburg Card?,"Eine nicht ganz einfache Frage… Es kommt darauf an. Es ist davon abhängig, was man alles unternehmen will und zu welcher Jahreszeit man nach Salzburg fährt. Im Herbst und Winter bietet es sich an, ein Museum zu besuchen oder die Festung Hohensalzburg zu besichtigen. Addiert man die einzelnen Eintritte zusammen, dann könnte sich die Salzburg Card vielleicht lohnen. Auch das Nutzen der öffentlichen Verkehrsmittel ist drin enthalten, sofern man denn mit dem Bus (oder der Fähre) fahren möchte.

Es gibt die Salzburg Card für 24 Stunden, für 48 Stunden und für 72 Stunden zu kaufen. Für Erwachsene ist sie teurer als für Kinder.

Sie hat zu unserem Aufenthalt (im September 2020) pro Person für 24 Stunden 29,- Euro gekostet. Hätten wir sie gleich für 48 Stunden gekauft, dann wären es 38,- Euro für jeden gewesen.

Die Erfahrung hat gezeigt, dass sich die Salzburg Card für unseren Aufenthalt nicht gelohnt hat. Wir die meiste Zeit an der frischen Luft unterwegs, und nur für das Museum „Das Haus der Natur“ hätte sich die Anschaffung nicht gelohnt.

Eine ausführliche Auseinandersetzung mit der Salzburg Card gibt es auf dem Blog von Janett.",de
Gibt es etwas was ich während des 28-tägigen Probeschlafens beachten muss?,"Sie können die Gewichtsdecke 28 Tage testen. In dieser Zeit darf die Decke gewaschen werden. Bitte gehen Sie mit der Gewichtsdecke sorgsam um. Wir nehmen uns das Recht vor, verschmutzte und kaputte Decken nicht zurückzunehmen.",de
Benötige ich spezielle Kletterausrüstung?,"Nein, im Aufstiegspreis ist die Miete für die Sicherheitsausrüstung enthalten. Die Verwendung eigener Ausrüstung ist nicht gestattet. Als Bekleidung sind lediglich feste geschlossene Schuhe notwendig.",de
Wo kann ich einen Gutscheincode eingeben?,"Ganz einfach: Auf der Kassen-Seite erscheint oben ein Text „Hast du einen Gutschein? Klicke hier, um deinen Gutschein-Code einzugeben.“ Klicke einfach auf diesen Link und gib deinen Gutschein-Code ein.

PS: Um auf die Kassenseite zu kommen, musst du zunächst mindestens einen Artikel zu deinem Warenkorb hinzufügen.",de
4 - Gibt es bei SIMPLY LEAD eine Mindestabnahmemenge?,"Ja, seit dem 01.11.2019 haben wir eine monatliche Mindestabnahmemenge von 25 Stück eingeführt. Die Praxis hat gezeigt, dass insbesondere Berater die Quotenrechnung betreiben sehr erfolgreich Umsatz generieren. Mit einem bzw. weningen Leads pro Monat können Sie keine Quote ermitteln. Wir haben daher eine monatliche Mindestabnahmemenge von 25 Leads eingeführt, um eine schnelle Lead-Bearbeitungs-Routine zu erhalten.",de
Können Sie trotz der COVID-19-Pandemie die Förderung der XU-Weiterbildung beantragen und erhalten?,"Die Bundesagentur für Arbeit stellt auch während der Corona-Pandemie Bildungsgutscheine aus. Die Pandemie selbst jedoch ist kein Grund zur Ausstellung eines Bildungsgutscheins.    Insbesondere durch das einzuhaltende Kontaktverbot, bieten sich gerade deshalb besonders Online-Qualifizierungen, wie die Programme des XU Online Campus, an.",de
