question,answer,language
Zijn er extra kosten voor het terugbrengen van de wagen naar een andere lcoatie?,"Ja, in de meeste gevallen zal de autoverhuurder extra kosten in rekening brengen indien je de auto wenst terug te brengen naar een andere locatie. We zullen duidelijk vermelden of de eenrichtingsverhuur kost is inbegrepen in de huurprijs of welke extra kosten er kunnen bijkomen tijdens het boeken.",nl
Wat is de streefdatum dat de zonnepanelen geplaatst worden?,"Wij hebben niet een harde einddatum. Voor de opbrengst en dus de omgeving helpt het dat we mee kunnen doen aan de SDE aanvraag in het najaar. Dan moeten we wel een vergunning hebben. SDE subsidies lopen elk jaar terug. Als de SDE vervolgens is toegekend, volgt de financiering van het project. Als dat gereed is, kan de bouw starten. Deze projecten hebben meestal een doorlooptijd van een paar jaar.",nl
"Ik heb een vrije dag genomen, maar nu wordt mijn afspraak door jullie afgezegd. Krijg ik dat vergoed?","We doen er alles aan om onze leveringen volgens afspraak uit te voeren maar houden ons ook aan alle richtlijnen van de overheid. Als door de huidige of nieuwe omstandigheden en richtlijnen afspraken afgezegd moeten worden, is dit helaas overmacht en wordt niet vergoed.",nl
"De Berenkuil is rookvrij, wat betekent dit?","De Berenkuil is een echte kindercamping, voor ons is het dus erg belangrijk dat juist de kinderen onbezorgd in een gezonde omgeving vakantie kunnen vieren, daarom is De Berenkuil niet alleen autovrij maar ook voor een groot gedeelte rookvrij.

Dit betekent dat er niet gerookt mag worden op plekken waar kinderen samenkomen. Naast dat er nergens binnengerookt mag worden zijn de rookvrije zones op De Berenkuil:


	het terras
	alle speeltuinen
	zwembad
	speelvijver
	openluchttheater
	rondom Berenhol
	rondom toiletgebouwen
	Berenbos


Het is geen probleem dat gasten op hun eigen kampeerplek roken of wanneer ze over de camping wandelen.",nl
Vindt u het bestand dat u heeft aangepast en wilt uploaden niet terug?,"ISO2HANDLE zoekt altijd naar een bestand met een extensie van MS Excell een zgn. xls bestand.
Zie onderstaand plaatje.

Indien het bestand niet kan worden geupload is het geen bestand met een .xls extensie. Het kan zijn dat het bestand nog een 'web pagina' opmaak heeft. Een 'web pagina heeft een .htm extensie. Controleer dan via het 'opslaan als' menu van MS Excell hoe het bestand wordt opgeslagen. Wordt het bestand opgeslagen als een MS Excell bestand?
Zie onderstaand voorbeeld:
Goed:
Fout:

Let op: ISO2HANDLE zal bij het uploaden van gegevens geen bestanden herkennen met een 'webpagina' opmaak.",nl
Hoe moet ik een adreswijziging doorgeven?,"Bij een wijziging in uw bedrijfsgegevens kunt u dit in e-Boekhouden.nl aanpassen.

Ga naar Beheer > Uw Account > Uw Gegevens.

Hier kunt u de bedrijfsgegevens en het factuuradres wijzigen.

Het btw-nummer kunt u wijzigen onder het kopje ‘Bedrijfsgegevens’.

Let op! Wilt u uw rekeningnummer voor de automatische incasso wijzigen? E-mail dan de nieuwe gegevens naar support@e-Boekhouden.nl.",nl
"Ik heb een voorstel ontvangen van mijn reisorganisatie/touroperator, ter compensatie van mijn geannuleerde reis. Bijvoorbeeld een voucher om volgend jaar te verzilveren. Kan ik dan alsnog mijn annuleringskosten terugkrijgen?","Nee, niet de volledige annuleringskosten. Vouchers en/of tegoedbonnen die een redelijke periode geldig zijn, zijn een op geld te waarderen (financiële) compensatie. Als je volgens onze voorwaarden recht hebt op een vergoeding van annuleringskosten, brengen wij het bedrag van deze compensatie in mindering op onze vergoeding.",nl
Is een kauwketting veilig?,"Een kauwketting is geen speelgoed, dus gebruik alleen door 5+ en/of onder ouderlijke toezicht. Bij veelvuldig of hard gebruik, kunnen er delen loslaten; vervang tijdig. Als een bijtketting is gemaakt van Food Graded siliconen bevat deze geen schadelijke stoffen.",nl
Wat zijn de pluspunten van een verhuisbedrijf?,Wij kunnen uw verhuizing een stuk leuker maken dan het normaliter is. Als verhuisbedrijf hebben wij jaren ervaring en weten exact wat er gedaan moet worden. Daarnaast kunt u lekker achterover leunen en hoeft u geen hand uit te steken. Wij regelen alles van transport tot verhuislift voor u. U noemt het en wij regelen het! Daarnaast is het geen slechte zaak voor uw rug en fysieke gezondheid.,nl
"Onze groep is kleiner dan het minimaal aantal deelnemers, kan ik evengoed deelnemen aan het evenement?","Ja dat kan zeker! Wij kopen onze arrangementen in voor het minimaal aantal deelnemers (die op de website vermeld staan), we verzoeken u dan wel om dit minimum tarief te voldoen. Maar overleg altijd van te voren met ons!",nl
"Ik heb last van een buurtkat, kan ik die naar jullie brengen?","Een buurtkat waarvan je weet dat hij/zij een eigenaar kun je niet naar ons toe brengen. Als je last hebt van een buurtkat, neem dan contact op met het baasje van het dier. Een buurtkat mag wettelijk gezien door jouw tuin lopen, maar mag geen overlast veroorzaken. Hier kun je een eigenaar op aanspreken. Leidt dit niet tot het gewenste resultaat, neem dan contact op met een buurtregisseur of de woningbouwvereniging.",nl
Kan ik dan alsnog uitstel aanvragen voor de loonbelasting?,"Ja, dat kan.",nl
Wat als mijn product beschadigd is geleverd?,"Dat lossen we natuurlijk zo snel mogelijk op!In dit geval, kan je het product gratis retourneren en betalen we je zo snel mogelijk terug of sturen we een nieuw product op. Bekijk onze retoursvoorwaarden en neem zo snel mogelijk contact met ons op.",nl
Zitten er allergenen in jullie thee?,"In sommige van onze theeën zitten noten of lactose. Ben je hier allergisch voor check dan even de ingrediëntenlijst bij onze theesoorten. TwisTea thee is geschikt voor mensen met een glutenallergie. Onze thee bevat namelijk geen gluten. In ons verpakkingsproces is kruisbesmetting mogelijk. Daarom geldt voor al onze theeën dat ze sporen van noten, lactose of melk kunnen bevatten.",nl
Wat is Klarna?,"Klarna is een betaalmethode waarmee je niet tijdens het bestellen, maar achteraf kunt betalen. Hierdoor heb je ruim de tijd om te beslissen welke items je wil houden en hoef je alleen voor deze items te betalen. Op die manier betaal je nooit voor wat je retourneert. Het betaaltermijn van Klarna is 14 dagen, dus je kunt zelf het moment uitkiezen waarop het jou uitkomt om te betalen. Het gebruik van Klarna is gratis, er zijn geen verborgen kosten. Door Klarna te gebruiken ga je automatisch akkoord met de Klarna dienstvoorwaarden en bevestig je dat je Klarna’s Privacyverklaring en Cookieverklaring hebt gelezen.",nl
Hoe moet ik de Webseller ELO installeren op mijn mobiele apparaat?,Voor de Webseller ELO hoef je niets te installeren. Je surft gewoon op je device naar de website en logt in zoals je dat ook op een gewone PC zou doen.,nl
"Ik heb een giftcard besteld, wanneer wordt deze verzonden?","Vandaag bestellen is morgen verzenden. Dus voor 23.59 uur bestellen, dan weet je dat ie de volgende dag op de post gaat. Tenminste, als het een werkdag is. Dus niet in het weekend ende of op feestdagen!",nl
Hoeveel weegt een Haaks camper?,De twee persoons Haaks camper die je hier op de afbeeldingen ziet weegt 3050 kilo,nl
Heeft ExpressVPN een gratis optie? 🆓,ExpressVPN heeft in tegenstelling tot een aantal andere aanbieders op de markt geen gratis optie te bieden. Dat betekent dat je dus altijd een abonnement zal moeten afsluiten wanneer je met deze VPN wilt werken. Er zijn drie verschillende soorten abonnementen die je kunt kiezen die allemaal een verschillende maandprijs hebben. Wel heeft ExpressVPN een 30-dagen-geld-terug mogelijkheid. Je kunt dan na dertig dagen je abonnement opzeggen en je geld terugkrijgen. Zo kan je er dus indirect toch een maand gratis gebruik van maken. Wel is het belangrijk om te weten dat de gratis diensten die vaak door andere VPN-aanbieders worden geboden gestripte versies van de echte abonnementen zijn. Die werken dus ook lang niet zo goed als de volledige versie van deze aanbieder doet. Het is altijd belangrijk om zulke zaken ook mee te wegen wanneer je een keuze maakt om wel of niet te betalen voor een dienst.,nl
Kun je Profile Dynamics ook voor teamontwikkeling gebruiken?,Ja. Teamdynamica en onderlinge interacties worden zeer herkenbaar gevisualiseerd. Potentiële krachten en aandachtspunten in het teamwerk worden inzichtelijk gemaakt en handvatten voor teamontwikkeling kunnen daaruit worden bepaald.,nl
Hoe werkt Dropshipping?,"Wanneer je een webshop hebt of wilt beginnen kan je voor dropshipping als model kiezen. Je stuurt dan in feite de bestelling van een klant door direct naar de leverancier. Veel webwinkel software programma’s hebben al koppelingen met dropship leveranciers. Bijvoorbeeld Shopify, Lightspeed en CCV Shop hebben zo’n koppeling. Wanneer de dropship leverancier de bestelling heeft ontvangen, verstuurd deze ook de bestelling direct naar de klant. De klant plaatst dus een bestelling bij jouw webshop, alleen de fysieke levering en afhandeling vind direct door de leverancier, bijvoorbeeld Amazon of AliExpress, plaats. Per periode – bijvoorbeeld maandelijks – krijg jij een factuur voor de inkoop die je hebt gedaan.",nl
Dien ik te reserveren?,"Ja, het is verplicht om te reserveren. Er wordt door sauna's een maximum gehanteerd aan het aantal gasten per dag. 

Reserveren kan bij de saunalocatie van uw keuze.",nl
"Als mijn oplaadkabel te kort is, kan ik dan een verlengsnoer gebruiken?","Nee, je kan en mag geen verlengsnoer gebruiken. Een laadkabel is een speciale kabel met een communicatiedraad. In de stekkers van het snoer zit een weerstand die communiceert met het laadstation. Als je kabel te kort is, moet je een langere kabel te kopen. Hou daarbij wel in het achterhoofd dat je een (te) lang snoer elke keer weer netjes moet uitleggen en oprollen. De beste oplossing is daarom de auto altijd zo dicht mogelijk bij het laadpunt te parkeren.",nl
Op welk tijdstip kan ik mijn lithium het beste innemen?,"Voor het effect op de stemming maakt het niet uit hoe laat je lithium inneemt. Om praktische redenen wordt meestal aangeraden lithium ’s avonds in te nemen. Omdat er 12 uur tussen de laatste inname en bloedprikken voor de lithiumspiegel moet zitten, is ’s avonds innemen het gemakkelijkste. Soms wordt gekozen voor de helft ’s ochtends en de andere helft ’s avonds, maar dan is er een wat grotere kans dat je een dosis vergeet.",nl
Kan ik mijn bestelling nog wijzigen?,"Het is mogelijk uw bestelling te wijzigen. Voorwaarden zijn dat de container nog niet is geleverd en u tijdig de wijziging doorgeeft. Neem daarvoor contact op met ons.
Het is mogelijk uw bestelling te annuleren indien u het tijdig laat weten. Hiervoor kunt u het beste contact opnemen met ons; wij reageren dezelfde dag (tijdens kantooruren).",nl
Hoe goed moet mijn kind zijn om bij een gecertificeerde tennisschool te mogen trainen?,Iedereen is welkom bij één van de gecertificeerde tennisscholen. De allerbeste spelers binnen de tennisschool trainen met elkaar in zo sterk mogelijk gevormde trainingsgroepen.;,nl
Hoe werkt de niet goed geld terug garantie?,"Mijn producten worden met zorg gemaakt en voor levering getest. Mocht je onverhoopt toch niet tevreden zijn met je product ontvang je het volledige aankoopbedrag retour. Ik ga er hierbij wel van uit dat je bewust bent van het feit dat een stempelafdruk nooit 100% perfect is. De hoeveelheid druk, inkt en ondergrond zijn van invloed op het resultaat.",nl
Wat is inzichtgevende beeldende therapie?,"Beeldende therapie is een van de vijf therapievormen van vaktherapie, voorheen creatieve therapie genoemd. Het is geen alternatieve, maar een reguliere vorm van therapie. Inzichtgevende beeldende therapie is bij uitstek geschikt voor mensen die verbaal sterk zijn en geneigd zijn hun gevoelens (weg) te rationaliseren, of mensen die juist moeilijk woorden kunnen geven aan hun gevoelens en gedachten. Beeldende therapie gebruikt onder andere tekenen, boetseren en schilderen om vaak pijnlijke herinneringen en gevoelens zichtbaar te maken in materiaal. Door te werken in en met het materiaal, ontstaat inzicht en worden trauma’s verwerkt. In tegenstelling tot wat men vaak denkt, hoef je geen creatieve achtergrond te hebben om deze vorm van therapie te volgen.",nl
Wat gaat SEO opleveren?,"Betere posities in Google, meer websitebezoekers, leads, omzet en rendement uit je website. Een concreet antwoord hierop bestaat helaas niet. Elke situatie is anders. Dit is afhankelijk van de productwaarde, doelgroep, concurrentie, huidige status website, zoekvolumes en beschikbare middelen. Ik hoor graag meer over jouw bedrijf en doelstellingen, zodat ik er meer over kan vertellen. Neem vrijblijvend contact met me op voor advies.",nl
Heb ik gereedschap nodig om de  voorzethor te plaatsen?,U heeft alleen een schroevendraaier nodig om de hor te plaatsen.,nl
Wat moet ik doen als de (winter/zomer) banden van mijn auto vervangen/verwisseld moeten worden?,"Een band is essentieel voor de veiligheid. Vandaar dat Vectus Lease ervoor kiest om banden op het juiste moment te vervangen. In geval van nieuwe banden monteren wij vaak banden met een lage rolweerstand. Dit heeft een gunstig brandstofverbruik als voordeel. Samen met een juiste bandenspanning bespaart u hierdoor eenvoudig op uw brandstofkosten.
Het vervangen van banden kan bij Euromaster.

Voor de zomer naar winterbanden en vv hebben wij een zeer aantrekkelijk aanbod. Neem hiervoor gerust contact op of download de winterbandenregeling.

Winterbandenregeling",nl
Kopen jullie ook zelf grond waar het zonnepark geplaatst wordt?,Steenergie heeft afspraken gemaakt met een aantal grondeigenaren om hun percelen over te nemen of/en te ruilen buiten het plangebied als de plannen voor het zonnepark kunnen doorgaan. Projectontwikkelaars maken daarentegen afspraken over een vergoeding aan de betrokken grondeigenaren bij het zonnepark. Steenergie wil door de gekozen strategie zoveel mogelijk opbrengst van het zonnepark beschikbaar krijgen voor de omgeving. Dit is een onderdeel van onze 100%-coöperatieve doelstelling.,nl
Kan ik één of meerdere dagen per week komen eten?,"Als gevolg van de corona-maatregelen kunnen we u helaas tijdelijk niet ontvangen.

 

Maar normaliter kan dat zeker. Voel u altijd welkom!

U kunt dagelijks bij ons de maaltijd nuttigen: dat kan ’s middags en ’s avonds.

U hoeft in principe niet te reserveren. Maar als u regelmatig of als vaste bezoeker wilt aanschuiven, is het fijn als u dit even afstemt met onze medewerksters van Sjuuf mèr èn.

Naast warm eten kunt u bij Sint Jozef ook altijd komen lunchen.
U kunt altijd even bellen voor informatie: 077- 466 78 55.",nl
"Ik kan mijn polisgegevens niet inzien, hoe kan dit?","Bent u zojuist klant geworden? Dan duurt het enkele werkdagen voordat de polisgegevens in de VerzekeringApp zichtbaar zijn.Kunt u na 10 werkdagen uw polisgegevens nog steeds niet bekijken, neem dan contact op met de marketing afdeling via marketing@nh1816.nl.",nl
"Ik kan de categorie van mijn video niet veranderen, wat moet ik doen?","Wij staan geen categorieveranderingen toe voor video's in het kanaal ""Mannen"". Post video's met solo-mannen ALLEEN in het kanaal ""Mannen"".",nl
Welke activiteiten komen niet in aanmerking voor de Gratis Vrijwilligersverzekering?,"De verzekering geldt enkel voor mensen die vrijwilligen in het kader van de Coronacrisis voor toegelaten activiteiten: boodschappen doen, mensen opbellen, de hond uitlaten,….

Wij accepteren bepaalde activiteiten duidelijk niet:
- tekeningen maken/brieven schrijven
- kinderopvang/babysit
- vervoer
- oppas/nachtoppas
- mantelzorg (noch hulp aan gezin of familie)

Meer info vind je hier: <link>",nl
5 - Wat doet de mondhygiënist?,"De mondhygiënist richt zich allereerst op het voorkomen van gaatjes in tanden en kiezen en op het voorkomen van tandvleesaandoeningen. Om u een indruk te geven van zijn werkzaamheden, hebben we de belangrijkste voor u op een rijtje gezet.

De mondhygiënist…

 	brengt uw mondsituatie in kaart, screent op tandheelkundige afwijkingen en stelt een passend behandelplan op
 	doet bacterieel onderzoek en maakt (in opdracht van de tandarts) röntgenfoto ’s
 	geeft uitgebreide voorlichting over het ontstaan van cariës, tandvleesaandoeningen en het effect van voedingsgewoonten, roken en afwijkend mondgedrag (zoals duimen) op het gebit
 	geeft voedingsvoorlichting om o.a. cariës en erosie te stoppen en voorkomen
reinigt implantaten
 	informatie en advies geven over slechte adem (halitose)
 	geeft voorlichting en instructies over gebitsverzorging zoals het gebruik van tandenstokers, ragers en mondspoelmiddelen
 	verwijdert plaque, tandsteen en aanslag en maakt worteloppervlakken glad, zo nodig met behulp van verdoving
 	behandeld gevoelige tanden en kiezen
 	brengt gebitsbeschermende middelen aan, zoals fluoride
 	brengt een ‘laklaag’ op tanden en/of kiezen aan
 	polijst tanden kiezen en vullingen
 	kan uw gebit bleken
 	bepaalt samen met u hoe u uw gehele leven lang een gezonde mond kunt houden",nl
Hoe maak ik een lijst op Bookahouseboat.com?,"Het is eenvoudig om uw woonboot op Bookahouseboat.com te adverteren. Klik gewoon op Bookahouseboat.com / aanmelden-eigenaar en volg de instructies.
 
Nadat u uw vermelding heeft verzonden, zal ons team deze beoordelen en, indien goedgekeurd, meteen online zetten.
 
Kijk op deze pagina voor geweldige richtlijnen om de best mogelijke aanbieding te maken. En hier kunt u leren concurrerender te worden.
 
Als u wilt, kunnen we een aanbieding voor u maken!
 
Laat het ons weten als u hulp nodig heeft of als u wilt dat wij de vermelding voor u maken. Neem hiervoor contact met ons op en vertel ons iets meer over de woning die u op ons platform wilt delen.
 
Het is handig om op zijn minst de volgende informatie te krijgen:
 

De locatie van de woonboot die u wilt verhuren
Enkele foto's van de woonboot die u wilt verhuren
Heeft u uw woning al vermeld op andere platforms? Stuur ons alsjeblieft de links van deze advertenties zodat we je aanvraag kunnen beoordelen.
Uw plannen met betrekking tot het verhuren van uw woonboot: bent u van plan om zoveel mogelijk of misschien alleen tijdens vakanties te huren?

 
Zodra we uw verzoek hebben beoordeeld, nemen we binnen 24 uur contact met u op en laten we u weten hoe u verder moet gaan. We verheugen ons op uw reactie en verbinden u met woonboot fans van over de hele wereld!",nl
Is het voedsel dat in de pakketten zit niet over de uiterste houdbaarheidsdatum en/of is het nog wel te eten?,"Wij houden ons beslist aan de regels en al het voedsel dat via de 
voedselbank verdeeld wordt voldoet aan de wettelijke kwaliteitscriteria,
 dus ook aan de houdbaarheidscriteria zoals de leverancier aan ons heeft
 doorgegeven en/of de Voedsel en Warenautoriteit ons voorschrijft.",nl
Wat is een IT Auditor of EDP Auditor?,"De register EDP-auditor (RE) (= IT Auditor) oordeelt en adviseert over de IT beheersing en - beveiliging in een organisatie. Ook de afstemming tussen bedrijfsprocessen en IT staat centraal. Zekerheid over de kwaliteit van IT wordt van steeds groter belang. Niet alleen vanwege de veiligheid maar ook ten aanzien van continuïteit, transparantie, governance en compliance. Denk ook aan de zekerheid (assurance) van uitbestede diensten. IT-auditors hebben de erkende universitaire opleiding tot IT-auditor voltooid en kunnen tenminste drie jaar praktijkervaring aantonen. Pas dan kunnen ze worden ingeschreven als Register EDP-auditor (RE). Met de inschrijving in het register verbinden ze zich aan de gedrags- en beroepsregels en zijn ze onderworpen aan tuchtrechtspraak.



» Bekijk hier vacatures voor it auditors



Overigens wordt de functienaam auditor ook gebruikt bij het uitvoeren van andersoortige audits, zoals safety, health & environment audits of bij bijzondere onderzoeken die bijvoorbeeld het gevolg zijn van fraudes (forensic auditor). Met compliance audits wordt onderzocht of de organisatie voldoet aan de voor die organisatie geldende in- en externe wet- en regelgeving. (zie ook <link> )",nl
En als het kantoor niet gebruikt wordt?,"Artikel 5.11 Bouwbesluit 2012 verbiedt per 1 januari 2023 de in gebruikname of het gebruik van een kantoorgebouw als er geen energielabel is met een energie-index van 1,3 of beter. Als een kantoorgebouw leeg staat en/of niet wordt gebruikt (eventueel nog gemeubileerd), dan geldt het gebruiksverbod van artikel 5.11 Bouwbesluit zolang er geen toereikend energielabel is. Het gebouw kan pas weer als kantoorgebouw worden gebruikt, als er alsnog een energielabel C of beter wordt afgegeven en geregistreerd. Maar ook wanneer er één van de uitzonderingsgronden zich voordoet.Zie hiervoor de vraag: 'Welke gebouwen zijn uitgezonderd van de verplichting?'",nl
Ik kan slecht leren. Wat zijn de mogelijkheden?,U kunt bij ons ook een 1-op-1 VCA cursus  volgen.,nl
Hebben jullie een kolfruimte?,"Ja, je kunt bij ons in een afgesloten ruimte kolven. Ook als je stroom nodig hebt. Vraag onze hosts bij de receptie en ze leggen je uit waar deze ruimte is.",nl
Corona-FAQ: Wat is de corona checklist?,"Je hebt een reis geboekt en wij willen dat jij hier zorgeloos van kan genieten. Voorafgaand aan elk vertrek voeren wij een controle uit aan de hand van onze Corona checklist. Deze lijst bevat verschillende checks op essentiële onderdelen van jouw geboekte skivakantie.

Wat zijn onze 5 checks?

 	De overheden van herkomst en/of bestemming staan reizen naar jouw bestemming toe
 	Er zijn geen quarantaine verplichtingen bij aankomst op jouw bestemming
 	De door jou geboekte busreis gaat door en de veiligheid kan worden gegarandeerd
 	De door jou geboekte accommodatie is open, evenals de essentiële faciliteiten
 	Het door jou verkozen skigebied is open, evenals de essentiële faciliteiten

Geen volledige check?
Wanneer één van bovenstaande checks niet kan worden gegarandeerd, zien we ons genoodzaakt om ofwel jouw geboekte wintersportvakantie aan te passen, ofwel te annuleren.",nl
Is de matrashoes (tijk) van deze matrassen wasbaar?,"Ja, de afdekhoes kan je er gemakkelijk afritsen en wassen op 60 graden.​
LET OP: na het wassen niet in de droger drogen, want dan kan hij krimpen.TIP: het beste kan je na het wassen de matrashoes er een beetje klam omheen doen, dan gaat het het makkelijkste!",nl
Hebben jullie meer informatie over een item?,"Alle informatie die wij hebben, delen we in de kavelbeschrijving. Wij proberen zo veel mogelijk unieke artikelnummers toe te voegen zodat je altijd kunt zoeken via Google voor meer informatie.",nl
